ion	candidate	window	file	bytes	verification
NaCl	LiD3-Flex	window_021_1.68nm	umbrella.xtc	495455756	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_002_0.26nm	umbrella_eq.xtc	124049460	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_002_0.26nm	umbrella.xtc	495455628	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_016_1.31nm	umbrella_eq.xtc	124049072	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_016_1.31nm	umbrella.xtc	495454756	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_025_1.98nm	umbrella_eq.xtc	124049364	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_025_1.98nm	umbrella.xtc	495454568	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_024_1.91nm	umbrella_eq.xtc	124049080	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_024_1.91nm	umbrella.xtc	495454108	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_005_0.48nm	umbrella_eq.xtc	124049608	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_005_0.48nm	umbrella.xtc	495453892	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_012_1.01nm	umbrella_eq.xtc	124049820	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_012_1.01nm	umbrella.xtc	495453876	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_022_1.76nm	umbrella_eq.xtc	124049140	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_022_1.76nm	umbrella.xtc	495454800	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_011_0.93nm	umbrella_eq.xtc	124048952	finished_mdrun+final_gro+critical_sha256
